NAME                                    VERSION                        TYPE     
acl                                     2.3.1-4.el9                    rpm       
alternatives                            1.24-2.el9                     rpm       
attr                                    2.5.1-3.el9                    rpm       
audit-libs                              3.1.5-4.el9                    rpm       
basesystem                              11-13.el9                      rpm       
bash                                    5.1.8-9.el9                    rpm       
busybox                                 1:1.35.0-2.el9                 rpm       
bzip2-libs                              1.0.8-10.el9_5                 rpm       
ca-certificates                         2024.2.69_v8.0.303-91.4.el9_4  rpm       
catatonit                               3:0.2.1-1.el9                  rpm       
chardet                                 4.0.0                          python    
coreutils                               8.32-39.0.1.el9                rpm       
coreutils-common                        8.32-39.0.1.el9                rpm       
cracklib                                2.9.6-27.el9                   rpm       
cracklib-dicts                          2.9.6-27.el9                   rpm       
crypto-policies                         20250128-1.git5269e22.el9      rpm       
crypto-policies-scripts                 20250128-1.git5269e22.el9      rpm       
curl                                    7.76.1-31.el9_6.1              rpm       
cyrus-sasl-lib                          2.1.27-21.el9                  rpm       
dbus                                    1:1.12.20-8.el9                rpm       
dbus-broker                             28-7.el9                       rpm       
dbus-common                             1:1.12.20-8.el9                rpm       
dbus-libs                               1:1.12.20-8.el9                rpm       
dbus-python                             1.2.18                         python    
decorator                               4.4.2                          python    
dejavu-sans-fonts                       2.37-18.el9                    rpm       
dmidecode                               1:3.6-1.el9                    rpm       
dnf                                     4.14.0-25.el9                  rpm       
dnf-data                                4.14.0-25.el9                  rpm       
dnf-plugins-core                        4.3.0-20.el9                   rpm       
elfutils-default-yama-scope             0.192-6.el9_6                  rpm       
elfutils-libelf                         0.192-6.el9_6                  rpm       
elfutils-libs                           0.192-6.el9_6                  rpm       
expat                                   2.5.0-5.el9_6                  rpm       
file-libs                               5.39-16.el9                    rpm       
filesystem                              3.16-5.el9                     rpm       
findutils                               1:4.8.0-7.el9                  rpm       
fonts-filesystem                        1:2.0.5-7.el9.1                rpm       
gawk                                    5.1.0-6.el9                    rpm       
gdb-gdbserver                           14.2-4.1.el9_6                 rpm       
gdbm-libs                               1:1.23-1.el9                   rpm       
glib2                                   2.68.4-16.el9_6.2              rpm       
glibc                                   2.34-168.el9_6.23              rpm       
glibc-common                            2.34-168.el9_6.23              rpm       
glibc-minimal-langpack                  2.34-168.el9_6.23              rpm       
gmp                                     1:6.2.0-13.el9                 rpm       
gnupg2                                  2.3.3-4.el9                    rpm       
gnutls                                  3.8.3-6.el9_6.2                rpm       
gobject-introspection                   1.68.0-11.el9                  rpm       
gpg                                     1.15.1                         python    
gpg-pubkey                              5a6340b3-6229229e              rpm       
gpg-pubkey                              8b4efbe6-629ec292              rpm       
gpg-pubkey                              8d8b756f-629e59ec              rpm       
gpg-pubkey                              fd431d51-4ae0493b              rpm       
gpgme                                   1.15.1-6.el9                   rpm       
grep                                    3.6-5.el9                      rpm       
gzip                                    1.12-1.el9                     rpm       
hostname                                3.23-6.el9                     rpm       
idna                                    2.10                           python    
ima-evm-utils                           1.5-3.el9                      rpm       
iniparse                                0.4                            python    
iproute                                 6.11.0-1.el9                   rpm       
jq                                      1.6-17.el9_6.2                 rpm       
json-c                                  0.14-11.el9                    rpm       
json-glib                               1.6.6-1.el9                    rpm       
keyutils                                1.6.3-1.el9                    rpm       
keyutils-libs                           1.6.3-1.el9                    rpm       
kmod-libs                               28-10.el9                      rpm       
krb5-libs                               1.21.1-8.el9_6                 rpm       
langpacks-core-en                       3.0-16.el9                     rpm       
langpacks-core-font-en                  3.0-16.el9                     rpm       
langpacks-en                            3.0-16.el9                     rpm       
libacl                                  2.3.1-4.el9                    rpm       
libarchive                              3.5.3-6.el9_6                  rpm       
